kms_driven,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
83690,17.8,1198.0,83.86000000000001,867.0,4.54
50900,17.71,1197.0,83.79,789.0,2.95
78651,18.9,1197.0,83.79,82.0,3.79
50000,21.56,1462.0,102.34,10325.0,7.5
49230,25.1,1248.0,87.36000000000001,885.0,8.7
65000,17.0,1591.0,111.37,1213.0,8.85
69000,20.68,1995.0,139.65,188.0,19.9
67000,17.1,1956.0,136.92000000000002,170.0,10.9
76685,17.0,1497.0,104.79,12131.0,6.95
101954,20.45,1461.0,102.27000000000001,1085.0,6.68
68897,18.9,1197.0,83.79,82.0,5.0
61383,18.15,998.0,69.86000000000001,11835.0,9.63
75000,19.27,2143.0,150.01000000000002,170.0,18.5
77130,15.5,1198.0,83.86000000000001,867.0,4.0
56426,18.0,1969.0,137.83,190.0,29.9
69018,20.73,1373.0,96.11000000000001,911.0,5.75
57000,19.67,1582.0,110.74000000000001,1262.0,10.75
65710,18.15,998.0,69.86000000000001,11835.0,8.66
51763,24.3,1248.0,87.36000000000001,885.0,8.0
19133,18.55,1462.0,102.34,10325.0,9.74
42733,20.73,1373.0,96.11000000000001,911.0,6.82
30300,17.84,1395.0,97.65,14751.0,24.8
59215,19.87,1461.0,102.27000000000001,838.0,7.8
91724,14.8,1591.0,111.37,1213.0,10.76
67633,28.09,1248.0,87.36000000000001,885.0,6.61
61000,18.0,1198.0,83.86000000000001,867.0,4.6
30000,19.27,2143.0,150.01000000000002,170.0,27.5
103030,15.63,1499.0,104.93,1104.0,6.82
19123,19.01,1462.0,102.34,1032.0,10.25
70767,15.1,2179.0,152.53,15287.0,11.6
58525,15.29,1591.0,111.37,1213.0,8.5
77353,21.4,1197.0,83.79,831.0,5.2
59200,21.4,1197.0,83.79,831.0,6.25
99230,25.1,1248.0,87.36000000000001,885.0,6.55
80000,18.6,1197.0,83.79,8183.0,5.25
50840,20.73,1373.0,96.11000000000001,911.0,6.72
41000,14.08,1956.0,136.92000000000002,16767.0,20.0
50000,19.16,2494.0,174.58,1577.0,12.5
42334,20.04,1462.0,102.34,10325.0,8.29
98275,20.85,1197.0,83.79,8314.0,3.97
65000,17.5,1199.0,83.93,887.0,6.85
52235,17.0,1591.0,111.37,1213.0,7.45
50158,17.4,1497.0,104.79,1173.0,6.95
69820,17.5,1498.0,104.86000000000001,996.0,5.44
82415,20.89,1197.0,83.79,8180.0,5.34
71070,19.6,1461.0,102.27000000000001,10845.0,7.22
83000,14.8,1595.0,111.65,12069.0,12.65
55000,21.01,1197.0,83.79,8180.0,6.75
65000,16.8,1497.0,104.79,1163.0,6.25
86916,18.9,1197.0,83.79,82.0,3.68
63307,18.9,1197.0,83.79,8186.0,5.44
101927,21.4,1197.0,83.79,831.0,5.14
40775,20.04,1462.0,102.34,10325.0,8.14
59710,25.1,1248.0,87.36000000000001,885.0,7.8
67606,17.5,1199.0,83.93,887.0,6.82
96658,18.6,1197.0,83.79,8183.0,5.1
29000,17.84,1395.0,97.65,14751.0,27.25
26750,19.12,1373.0,96.11000000000001,911.0,8.62
43293,19.49,1198.0,83.86000000000001,6704.0,4.12
98751,19.49,1198.0,83.86000000000001,6704.0,2.98
54776,22.69,1995.0,139.65,190.0,18.9
59870,28.09,1248.0,87.36000000000001,885.0,7.27
50000,18.9,1197.0,83.79,8186.0,3.95
94000,16.8,1497.0,104.79,1163.0,6.25
29294,16.35,1956.0,136.92000000000002,16767.0,13.65
16847,20.4,1194.0,83.58000000000001,9493.0,5.94
70000,17.9,2143.0,150.01000000000002,1341.0,17.5
65865,19.6,1461.0,102.27000000000001,10845.0,7.99
54000,21.19,1497.0,104.79,10849.0,9.99
20866,17.1,1199.0,83.93,8850.0,8.14
73937,17.3,1497.0,104.79,121.0,8.99
42014,19.49,1198.0,83.86000000000001,6704.0,4.25
34000,13.96,1451.0,101.57000000000001,141.0,16.4
73000,24.3,1248.0,87.36000000000001,885.0,7.0
59841,25.1,1248.0,87.36000000000001,885.0,8.74
37000,16.8,1497.0,104.79,11342.0,15.25
81949,17.71,1197.0,83.79,789.0,2.92
34769,18.3,1498.0,104.86000000000001,11935.0,13.08
84310,18.6,1197.0,83.79,8183.0,5.64
23000,18.9,1197.0,83.79,8186.0,5.15
79362,19.49,1198.0,83.86000000000001,6704.0,3.42
70000,26.08,1462.0,102.34,9119.0,7.65
54000,21.4,1197.0,83.79,831.0,4.25
64690,16.8,1497.0,104.79,11343.0,10.0
43687,19.1,1197.0,83.79,82.0,5.2
51000,18.15,998.0,69.86000000000001,11835.0,9.75
60758,16.8,1497.0,104.79,1163.0,4.4
42000,23.7,1396.0,97.72000000000001,887.0,10.5
42261,24.3,1248.0,87.36000000000001,885.0,8.85
69000,18.49,1493.0,104.51,100.0,8.5
90001,18.23,1582.0,110.74000000000001,1262.0,10.75
13000,18.89,1498.0,104.86000000000001,14751.0,16.5
60000,22.07,1199.0,83.93,739.0,2.4
